,movimiento_id,buque_id,matricula,radar_id,muelle,tipo_carga,origen,fecha_ingreso,hora_ingreso,fecha_egreso,hora_egreso,tonelaje_declarado,velocidad_ingreso,velocidad_maxima_muelle,estado_despacho,duracion_hora,exceso_velocidad_real,exceso_velocidad
130,MOV-00149,B-024,EVERGREEN02,R-07,MUELLEC,MINERALES,MONTEVIDEO,2024-01-16,1900-01-01 08:51:00,2024-01-17,1900-01-01 17:47:00,6811.06,11.4,10,PENDIENTE,1 days 08:56:00,1.4000000000000004,0.9000000000000004
139,MOV-00160,B-007,EVERGLORY,R-07,MUELLEF,MINERALES,VALPARAISO,2020-01-27,1900-01-01 06:41:00,2020-01-30,1900-01-01 05:06:00,3906.55,15.0,10,DESPACHADO,2 days 22:25:00,5.0,4.5
146,MOV-00169,B-016,PILOESTE,R-03,MUELLED,HARINA,SHANGHAI,2023-04-04,1900-01-01 17:43:00,2023-04-05,1900-01-01 04:11:00,4211.84,11.5,10,RECHAZADO,0 days 10:28:00,1.5,1.0
147,MOV-00170,B-021,MAERSKPAMPAS,R-07,MUELLEC,MINERALES,VALPARAISO,2020-02-23,1900-01-01 00:00:00,2020-02-25,1900-01-01 18:20:00,5103.71,10.6,10,PENDIENTE,2 days 18:20:00,0.5999999999999996,0.09999999999999964
149,MOV-00172,B-016,ONEPLATA,R-07,MUELLEF,GRANOS,ROTTERDAM,2024-05-03,1900-01-01 09:29:00,2024-05-04,1900-01-01 21:32:00,5476.51,15.0,12,DESPACHADO,1 days 12:03:00,3.0,2.3999999999999986
153,MOV-00176,B-014,YANGESTE,R-01,MUELLEA,SOJA,HAMBURG,2022-12-12,1900-01-01 18:39:00,2022-12-14,1900-01-01 00:00:00,2911.86,14.6,12,EN_REVISION,1 days 05:21:00,2.5999999999999996,1.9999999999999982
156,MOV-00179,B-024,CMALITORAL,,MUELLEB,HARINA,MONTEVIDEO,2020-07-08,1900-01-01 14:32:00,2020-07-08,1900-01-01 23:40:00,4766.89,12.6,10,DESPACHADO,0 days 09:08:00,2.5999999999999996,2.0999999999999996
158,MOV-00181,B-019,PILOESTE,R-04,MUELLEB,SOJA,VALPARAISO,2022-08-22,1900-01-01 21:03:00,2022-08-23,1900-01-01 01:25:00,4625.31,11.8,10,EN_REVISION,0 days 04:22:00,1.8000000000000007,1.3000000000000007
165,MOV-00189,B-039,HAPAGRIO,R-03,MUELLEF,MINERALES,SHANGHAI,2021-01-05,1900-01-01 16:55:00,2021-01-06,1900-01-01 06:13:00,4868.31,16.6,12,PENDIENTE,0 days 13:18:00,4.600000000000001,4.0
166,MOV-00190,B-011,CMALITORAL,R-07,MUELLED,HARINA,HAMBURG,2021-06-21,1900-01-01 04:33:00,2021-06-23,1900-01-01 07:52:00,3633.6,15.2,12,PENDIENTE,2 days 03:19:00,3.1999999999999993,2.599999999999998
168,MOV-00192,B-039,CMAROSARIO,R-07,MUELLEF,MAIZ,BUENOS AIRES,2023-08-01,1900-01-01 14:59:00,2023-08-03,1900-01-01 22:58:00,4971.79,15.4,10,PENDIENTE,2 days 07:59:00,5.4,4.9
169,MOV-00194,B-015,MSCGENOVA,R-07,MUELLEF,MINERALES,BUENOS AIRES,2023-07-18,1900-01-01 20:05:00,2023-07-20,1900-01-01 00:00:00,4489.78,14.2,10,EN_REVISION,1 days 03:55:00,4.199999999999999,3.6999999999999993
170,MOV-00195,B-009,EVERGLORY,R-04,MUELLEA,TRIGO,HAMBURG,1900-01-01,1900-01-01 17:53:00,2022-10-23,1900-01-01 17:46:00,6380.91,13.4,12,RECHAZADO,,1.4000000000000004,0.7999999999999989
173,MOV-00199,B-008,CMAROSARIO,R-08,MUELLED,MAIZ,MONTEVIDEO,2022-06-09,1900-01-01 08:21:00,2022-06-11,1900-01-01 04:05:00,6076.86,13.0,10,DESPACHADO,1 days 19:44:00,3.0,2.5
174,MOV-00200,B-027,ONEPARANA,R-07,MUELLEB,SOJA,HAMBURG,2023-06-02,1900-01-01 14:11:00,2023-06-04,1900-01-01 17:01:00,6209.9,13.1,10,RECHAZADO,2 days 02:50:00,3.0999999999999996,2.5999999999999996
178,MOV-00204,B-015,MSCALPHA,R-06,MUELLEC,CONTENEDORES,VALPARAISO,2022-10-23,1900-01-01 16:53:00,2022-10-24,1900-01-01 19:46:00,6017.96,13.1,12,DESPACHADO,1 days 02:53:00,1.0999999999999996,0.4999999999999982
180,MOV-00206,B-030,YANGMING,R-03,MUELLEC,MAIZ,VALPARAISO,2020-10-30,1900-01-01 11:18:00,2020-11-02,1900-01-01 07:21:00,1826.69,12.8,10,PENDIENTE,2 days 20:03:00,2.8000000000000007,2.3000000000000007
182,MOV-00208,B-003,CMAROSARIO,R-02,MUELLEC,GRANOS,ROTTERDAM,2023-05-30,1900-01-01 20:12:00,2023-06-02,1900-01-01 13:21:00,4501.51,12.4,10,PENDIENTE,2 days 17:09:00,2.4000000000000004,1.9000000000000004
190,MOV-00217,B-038,MAERSKLIMA,R-03,MUELLEA,ACEITE,SAO PAULO,2020-09-08,1900-01-01 07:53:00,2020-09-10,1900-01-01 11:43:00,5711.2,17.5,12,EN_REVISION,2 days 03:50:00,5.5,4.899999999999999
193,MOV-00220,B-019,MSCALPHA,R-01,MUELLEA,GRANOS,MONTEVIDEO,2024-04-16,1900-01-01 20:21:00,2024-04-19,1900-01-01 00:00:00,,16.0,10,EN_REVISION,2 days 03:39:00,6.0,5.5
196,MOV-00224,B-028,EVERGLORY,R-04,MUELLEB,HARINA,MONTEVIDEO,2023-02-01,1900-01-01 05:41:00,2023-02-01,1900-01-01 14:22:00,4885.84,17.4,15,DESPACHADO,0 days 08:41:00,2.3999999999999986,1.6499999999999986
200,MOV-00228,B-011,ZIMDELTA,R-03,MUELLEE,CONTENEDORES,SHANGHAI,2020-12-21,1900-01-01 21:37:00,2020-12-23,1900-01-01 05:06:00,3061.88,12.7,12,RECHAZADO,1 days 07:29:00,0.6999999999999993,0.09999999999999787
202,MOV-00230,B-027,HAPAGRIO,R-07,MUELLEB,GRANOS,VALPARAISO,2022-01-27,1900-01-01 18:43:00,2022-01-30,1900-01-01 23:49:00,5119.68,15.3,10,EN_REVISION,3 days 05:06:00,5.300000000000001,4.800000000000001
208,MOV-00238,B-026,YANGMING,R-02,MUELLEB,MAIZ,SANTA FE,2024-10-25,1900-01-01 00:13:00,2024-10-27,1900-01-01 23:34:00,5163.81,12.3,10,PENDIENTE,2 days 23:21:00,2.3000000000000007,1.8000000000000007
210,MOV-00240,B-040,EVERGREEN02,R-08,MUELLEF,CONTENEDORES,SANTA FE,2022-06-16,1900-01-01 07:32:00,2022-06-17,1900-01-01 22:06:00,4814.52,13.9,12,PENDIENTE,1 days 14:34:00,1.9000000000000004,1.299999999999999
211,MOV-00241,B-006,HAPAGSUR,R-03,MUELLEB,TRIGO,MONTEVIDEO,2021-09-13,1900-01-01 07:13:00,2021-09-13,1900-01-01 00:00:00,6002.7,13.8,12,RECHAZADO,,1.8000000000000007,1.1999999999999993
214,MOV-00245,B-023,COSCOTIGRE,R-04,MUELLEC,SOJA,SANTA FE,2022-12-01,1900-01-01 00:00:00,2022-12-03,1900-01-01 17:16:00,3527.05,15.0,10,EN_REVISION,2 days 17:16:00,5.0,4.5
216,MOV-00247,B-006,EVERGLORY,R-07,MUELLEB,MINERALES,SAO PAULO,2023-04-19,1900-01-01 17:33:00,2023-04-21,1900-01-01 00:01:00,6590.95,14.1,12,RECHAZADO,1 days 06:28:00,2.0999999999999996,1.4999999999999982
222,MOV-00254,B-022,PILSANTA,R-08,MUELLEC,TRIGO,SHANGHAI,1900-01-01,1900-01-01 22:08:00,2020-02-03,1900-01-01 19:49:00,5742.74,19.4,12,EN_REVISION,,7.399999999999999,6.799999999999997
223,MOV-00255,B-025,YANGESTE,,MUELLED,MAIZ,SANTA FE,2020-01-20,1900-01-01 07:47:00,2020-01-20,1900-01-01 08:45:00,2261.35,13.6,12,DESPACHADO,0 days 00:58:00,1.5999999999999996,0.9999999999999982
227,MOV-00259,B-019,COSCOTIGRE,R-07,MUELLEA,CONTENEDORES,SAO PAULO,2024-12-07,1900-01-01 19:39:00,2024-12-08,1900-01-01 12:41:00,3716.45,13.0,12,DESPACHADO,0 days 17:02:00,1.0,0.3999999999999986
229,MOV-00262,B-024,EVERGLORY,R-01,MUELLEB,TRIGO,VALPARAISO,2021-11-26,1900-01-01 17:15:00,2021-11-27,1900-01-01 06:07:00,5181.36,14.3,10,PENDIENTE,0 days 12:52:00,4.300000000000001,3.8000000000000007
231,MOV-00264,B-011,ONEPLATA,R-07,MUELLEF,ACEITE,HAMBURG,2023-11-23,1900-01-01 15:45:00,2023-11-26,1900-01-01 18:11:00,5817.49,16.3,15,RECHAZADO,3 days 02:26:00,1.3000000000000007,0.5500000000000007
234,MOV-00268,B-025,ONEPARANA,R-07,MUELLEA,CONTENEDORES,SAO PAULO,2023-08-01,1900-01-01 09:05:00,2023-08-02,1900-01-01 02:32:00,6208.92,14.5,12,RECHAZADO,0 days 17:27:00,2.5,1.8999999999999986
236,MOV-00270,B-030,PILOESTE,R-01,MUELLEF,SOJA,VALPARAISO,2022-03-11,1900-01-01 19:52:00,2022-03-12,1900-01-01 22:17:00,3681.56,16.7,12,RECHAZADO,1 days 02:25:00,4.699999999999999,4.099999999999998
240,MOV-00274,B-013,YANGESTE,R-04,MUELLEE,CONTENEDORES,ROTTERDAM,2020-12-21,1900-01-01 00:25:00,2020-12-22,1900-01-01 16:30:00,5062.63,13.4,12,DESPACHADO,1 days 16:05:00,1.4000000000000004,0.7999999999999989
241,MOV-00275,B-017,MAERSKLIMA,R-06,MUELLEF,CONTENEDORES,MONTEVIDEO,2021-10-13,1900-01-01 21:30:00,2021-10-14,1900-01-01 08:24:00,5918.93,16.5,15,EN_REVISION,0 days 10:54:00,1.5,0.75
249,MOV-00283,B-001,COSCOTIGRE,R-05,MUELLED,MINERALES,SHANGHAI,2021-10-07,1900-01-01 07:23:00,2021-10-09,1900-01-01 13:43:00,4060.33,15.9,12,RECHAZADO,2 days 06:20:00,3.9000000000000004,3.299999999999999
250,MOV-00284,B-031,ONEPLATA,R-07,MUELLEF,TRIGO,SANTA FE,2024-07-11,1900-01-01 23:20:00,2024-07-14,1900-01-01 12:25:00,6127.94,12.3,10,EN_REVISION,2 days 13:05:00,2.3000000000000007,1.8000000000000007
251,MOV-00285,B-033,EVERGLORY,R-03,MUELLED,SOJA,VALPARAISO,2022-09-14,1900-01-01 21:34:00,2022-09-16,1900-01-01 01:40:00,5642.51,14.8,10,RECHAZADO,1 days 04:06:00,4.800000000000001,4.300000000000001
255,MOV-00289,B-019,YANGMING,R-04,MUELLEF,CONTENEDORES,BUENOS AIRES,2024-10-06,1900-01-01 22:19:00,2024-10-09,1900-01-01 00:00:00,4054.49,16.8,10,PENDIENTE,2 days 01:41:00,6.800000000000001,6.300000000000001
256,MOV-00291,B-008,COSCOSTAR,R-02,MUELLED,TRIGO,SANTA FE,2021-01-05,1900-01-01 12:30:00,2021-01-07,1900-01-01 14:43:00,4705.22,16.9,15,RECHAZADO,2 days 02:13:00,1.8999999999999986,1.1499999999999986
258,MOV-00293,B-032,MSCALPHA,R-06,MUELLEE,TRIGO,BUENOS AIRES,2024-10-19,1900-01-01 06:08:00,2024-10-20,1900-01-01 01:21:00,5062.71,13.9,12,DESPACHADO,0 days 19:13:00,1.9000000000000004,1.299999999999999
262,MOV-00299,B-020,EVERGREEN02,R-02,MUELLEA,ACEITE,MONTEVIDEO,2021-02-08,1900-01-01 02:33:00,1900-01-01,1900-01-01 18:24:00,4661.29,13.1,12,RECHAZADO,,1.0999999999999996,0.4999999999999982
263,MOV-00300,B-001,EVERGREEN02,R-04,MUELLEA,TRIGO,VALPARAISO,2020-03-05,1900-01-01 05:42:00,2020-03-06,1900-01-01 03:50:00,5837.47,14.3,12,DESPACHADO,0 days 22:08:00,2.3000000000000007,1.6999999999999993
265,MOV-00302,B-012,ONEPARANA,R-03,MUELLEB,SOJA,MONTEVIDEO,2022-05-23,1900-01-01 00:39:00,2022-05-24,1900-01-01 14:44:00,8552.11,14.2,10,RECHAZADO,1 days 14:05:00,4.199999999999999,3.6999999999999993
266,MOV-00303,B-003,MSCGENOVA,R-01,MUELLEF,ACEITE,SAO PAULO,2022-06-01,1900-01-01 05:16:00,1900-01-01,1900-01-01 00:00:00,2416.08,13.1,10,EN_REVISION,,3.0999999999999996,2.5999999999999996
270,MOV-00310,B-025,MAERSKLIMA,R-08,MUELLEB,SOJA,SAO PAULO,2023-06-14,1900-01-01 10:07:00,2023-06-16,1900-01-01 07:50:00,5940.1,11.3,10,DESPACHADO,1 days 21:43:00,1.3000000000000007,0.8000000000000007
271,MOV-00311,B-005,MSCGENOVA,R-03,MUELLEF,MAIZ,SHANGHAI,2024-07-26,1900-01-01 02:07:00,2024-07-28,1900-01-01 02:32:00,3517.3,15.0,12,PENDIENTE,2 days 00:25:00,3.0,2.3999999999999986
275,MOV-00315,B-030,HAPAGSUR,R-06,MUELLEF,CONTENEDORES,ROTTERDAM,2021-02-02,1900-01-01 08:06:00,2021-02-03,1900-01-01 20:11:00,,13.0,12,PENDIENTE,1 days 12:05:00,1.0,0.3999999999999986
277,MOV-00318,B-011,YANGMING,R-03,MUELLEA,HARINA,SHANGHAI,2021-06-12,1900-01-01 15:16:00,2021-06-15,1900-01-01 15:21:00,5638.67,13.0,12,EN_REVISION,3 days 00:05:00,1.0,0.3999999999999986
279,MOV-00320,B-014,HAPAGSUR,R-02,MUELLEC,MINERALES,SANTA FE,2021-10-17,1900-01-01 18:02:00,2021-10-19,1900-01-01 00:00:00,5638.09,11.5,10,PENDIENTE,1 days 05:58:00,1.5,1.0
280,MOV-00322,B-021,MSCGENOVA,R-03,MUELLED,MAIZ,HAMBURG,2021-06-22,1900-01-01 16:46:00,2021-06-22,1900-01-01 10:35:00,7401.79,17.2,12,EN_REVISION,,5.199999999999999,4.599999999999998
288,MOV-00334,B-004,PILSANTA,R-01,MUELLEA,GRANOS,VALPARAISO,2021-07-06,1900-01-01 22:10:00,2021-07-07,1900-01-01 00:00:00,4842.24,16.6,12,DESPACHADO,0 days 01:50:00,4.600000000000001,4.0
289,MOV-00335,B-019,COSCOSTAR,R-06,MUELLEE,TRIGO,SAO PAULO,2020-01-27,1900-01-01 21:13:00,2020-01-30,1900-01-01 02:28:00,6248.54,13.6,10,DESPACHADO,2 days 05:15:00,3.5999999999999996,3.0999999999999996
291,MOV-00337,B-007,EVERGLORY,R-07,MUELLEF,CONTENEDORES,SAO PAULO,2022-12-20,1900-01-01 19:31:00,2022-12-23,1900-01-01 00:07:00,5277.83,13.7,12,EN_REVISION,2 days 04:36:00,1.6999999999999993,1.0999999999999979
294,MOV-00342,B-038,MAERSKLIMA,R-01,MUELLED,HARINA,SANTA FE,2021-05-29,1900-01-01 04:22:00,2021-05-30,1900-01-01 17:16:00,3637.09,16.6,10,RECHAZADO,1 days 12:54:00,6.600000000000001,6.100000000000001
